ProductNo,category,sub_category,product,brand,market_price,rating
22340,Beauty & Hygiene,Fragrances & Deos,Evoke Silver Edition Perfume Deodorant For Men,Ajmal,399,3.8
22341,Gourmet & World Food,Chocolates & Biscuits,Lex Cream Sandwich Biscuits - Choco Flavour,Samudra,169,4.3
22348,"Foodgrains, Oil & Masala",Masalas & Spices,Hing,Mdh,68,4.2
22355,Beauty & Hygiene,Fragrances & Deos,Newyork Deodorant Spray,Playboy,299,3.8
22358,Beauty & Hygiene,Fragrances & Deos,Deodorant Body Spray - Pi for Woman,Nike,279,
22360,"Foodgrains, Oil & Masala",Masalas & Spices,Sambar Masala,bb Royal,30,3.9
22363,Gourmet & World Food,Chocolates & Biscuits,"Tropical Fruit Pudding - Lychee, Mango, Strawberry, Orange, Pineapple Flavoured",Cocon,150,4.3
22364,Gourmet & World Food,Drinks & Beverages,Ground Coffee - IL Mattino Vivace,Lavazza,175,
22375,Beauty & Hygiene,Health & Medicine,"Arshakuthar Ras Tablets -For Piles Related Inflammation, Itching & Pain",Baidyanath,100,
22406,Gourmet & World Food,Cooking & Baking Needs,Flavouring Essence - Almond,Harveys,59,4.1
22411,Snacks & Branded Foods,Frozen Veggies & Snacks,Salami - Chicken Chilli,Yummiez,150,4.2
22417,"Foodgrains, Oil & Masala",Masalas & Spices,Coconad - Coconut Milk Powder,Klf ,90,4.3
22418,"Foodgrains, Oil & Masala",Organic Staples,Brown Sugar/Sakkare,Organic Tattva,75,4
22419,Gourmet & World Food,Dairy & Cheese,Smoked Cheese With Fine Herbs - Sliced,Fresho Signature,199.77,
22420,Gourmet & World Food,Cereals & Breakfast,Cereal - Reeses Puffs,General Mills,625,
22421,Cleaning & Household,All Purpose Cleaners,Max Gel Sink & Pipe - Unblocker,Mr Muscle,799,
22422,Beauty & Hygiene,Bath & Hand Wash,Luxury Bathing Bar - Indian Khus,50ap,160,
22423,Beauty & Hygiene,Skin Care,Frankincense Essential Oil - 100% Pure & Natural,Aroma Treasures,420,3
22424,Snacks & Branded Foods,Ready To Cook & Eat,Papad - Pani Puri,Atish ,50,4
22433,"Eggs, Meat & Fish",Fish & Seafood,Atlantic Salmon Portion Single,Big Sams,825,
22441,Cleaning & Household,Pooja Needs,Puja Agarbattis - Flora Sandal,Mangaldeep,60,4.2
22446,"Kitchen, Garden & Pets",Crockery & Cutlery,100% Melamine 3D Soup Spoon - Blue,Iveo ,264,
22457,"Foodgrains, Oil & Masala",Dals & Pulses,Organic Fried Gram/Huri Kadale,bb Royal,179,4
22464,"Kitchen, Garden & Pets",Pet Food & Accessories,Dog Food - Chicken & Veg Adult,Purepet,999,3.8
22466,Cleaning & Household,Stationery,"Combo Kit - Stationery, Colour, Art, Fun",Classmate,149,4.2
22477,Snacks & Branded Foods,Indian Mithai,Dharwad Peda,Sangam Sweets,320,5
22486,Beauty & Hygiene,Fragrances & Deos,Cologne - Scuba For Men,USTRAA,799,3
22489,Cleaning & Household,Detergents & Dishwash,Detergent Bar - Stain Care,Henko,30,4.2
22494,Cleaning & Household,"Mops, Brushes & Scrubs",Butterfly Mop Refill,Scotch brite,450,2.9
22495,Beauty & Hygiene,Hair Care,Hot Curl Brush Large - H2 PRL,Vega,540,
22505,Baby Care,Diapers & Wipes,Premium Care Medium Monthly Box Pack - 108 Diaper Pants,Pampers ,2199,3.9
22508,Beauty & Hygiene,Skin Care,Daily Moisturiser - Spf 15 + Co-Enzyme Q10,Anatomicals,750,2
22513,Beauty & Hygiene,Oral Care,Kids Barbie Toothbrush - Extra Soft With Tongue Cleaner,Colgate,79,4.1
22514,"Kitchen, Garden & Pets",Crockery & Cutlery,Chai/100% Melamine Glory Coffee Mug Set - Blue,Iveo ,846,3
22516,Beauty & Hygiene,Feminine Hygiene,Panty Liners - Soft Classic,Bella,170,4.2
22549,Cleaning & Household,Bins & Bathroom Ware,"Plastic Mug With Handle - Peach, Nova, 15210-PCH",Ratan,52,4.5
22550,Beauty & Hygiene,Hair Care,Organic - Aloe Soothing Shampoo,Vitro Naturals ,525,
22553,"Bakery, Cakes & Dairy",Dairy,Daily Fresh - Dahi,Britannia,20,4
22554,"Kitchen, Garden & Pets",Appliances & Electricals,"Safelite LED Bulb - 0.5 Watt, Yellow, Cool Day, B22",Wipro,100,4.4
22555,Cleaning & Household,Bins & Bathroom Ware,Milano Masala Box With Lid - Assorted Colour,Nakoda,248,
22556,Beauty & Hygiene,Skin Care,Carrot Farieness Facial Sheet Mask EX,Mirabelle,119,4.7
22557,Beauty & Hygiene,Hair Care,Ayurvedic Scalp & Hair Oil,Kesh King,330,4.3
22563,"Foodgrains, Oil & Masala",Dals & Pulses,Organic Kabuli Chana/Kabuli Kadale,bb Royal,88,4
22565,"Kitchen, Garden & Pets",Cookware & Non Stick,"Hard Anodised Aluminium Fry Pan, 200 mm (30601)",Prestige,980,2.4
22566,Beauty & Hygiene,Health & Medicine,Medicated Til Oil,Jiva Ayurveda,50,
22574,Gourmet & World Food,Drinks & Beverages,Organic Hibiscus Mojito Instant Drink Premix - Sugar-Free,D-Alive,399,3
22576,"Foodgrains, Oil & Masala",Rice & Rice Products,"Basmati Rice - Mogra, Broken/Tukda 5 Kg + Wheat Flour (Chakki Atta) 10 Kg",bb Royal,850,
22577,Beverages,Fruit Juices & Drinks,100 % Mixed Fruit Juice,Real Activ,135,4
22578,Beauty & Hygiene,Hair Care,Vatika - Enriched Coconut Hair Oil 300 ml + Vatika Long & Black Shampoo 440 ml,Dabur,369,
22580,Beauty & Hygiene,Skin Care,Herbal Shascrub Plus Walnut Face & Body Scrub,Shahnaz Husain,710,5
22581,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Hot Wings Sauce,Bechef,200,4.3
22585,Beauty & Hygiene,Hair Care,Hair Naturals - Soothing Conditioning Gel,Kaya Clinic,1090,
22587,Beauty & Hygiene,Bath & Hand Wash,BB Home Loofah Light Pink BH008 LPNK 1 pc+Nivea Shower Gel Body Wash Women 250ml,bb Combo,348,
22588,Beauty & Hygiene,Fragrances & Deos,Instinct Eau De Toilette,David Beckham,2900,4.8
22591,"Kitchen, Garden & Pets",Pet Food & Accessories,Jumbone Mini Adult Dog Treat - Chicken & Lamb (4 Treats),Pedigree,800,
22592,"Kitchen, Garden & Pets",Storage & Accessories,Magic Seal Square Storage Plastic Container - Royal Blue,Polyset,209,3.9
22593,Beauty & Hygiene,Feminine Hygiene,Sanitary Pads - Secure Cottony Soft 20Pads + Secure Xl Ultra-Thin 6pads,STAYFREE,122,
22594,Cleaning & Household,All Purpose Cleaners,Glass Cleaner Liquid Spray,Colin,279,4.3
22596,Beauty & Hygiene,Fragrances & Deos,Golden Dew Intense For Women,Dorall Collection,599,4
22597,Beauty & Hygiene,Health & Medicine,Vita Ex Gold Plus Tablets - With Pure Shilajit & Swarna Bhasma,Baidyanath,410,
22598,Gourmet & World Food,Cooking & Baking Needs,Pure Stevia Extract,So Sweet,275,
